# 三峽區與鶯歌區的地段名清單。
#
# 來源：新北市政府地政局「地政資訊易找查」的「段小段」下拉選單
#       https://www2.land.ntpc.gov.tw/MASP/MASP15_NEW/MASP1501index.jsp
#       由承辦人於 2026-09-03 從該頁面直接複製，行政區各選一次。
#       這是地政局自己的清單，不是網路搜尋來的，可以當權威資料用。
#
# 段名沒有任何格式規則 —— 讀成「圍際」還是「國際」，程式自己看不出來，
# 只能靠這份清單。清單裡沒有的段名會被標起來讓人看，不會被偷偷代換。
#
# 格式：每行「代碼 段名」，代碼可有可無。「## 區名」以下的段名屬於該區。
# 要補的話直接加一行就好，程式對格式很寬容（見 pipeline/lexicon.py 的
# parse_section，連整段網頁原始碼貼進來都收）。
#
# 表格上只寫到段（例如「大湖段」）也對得到。但那個段底下有好幾個小段時，
# 輸出就停在段 —— 替使用者挑一個小段等於猜，猜錯從輸出表上看不出來。

## 三峽區
0039 白雞段白雞小段
0040 白雞段紫微小段
0041 白雞段烏才頭小段
0042 十三添段犁舌尾小段
0043 十三添段打鐵坑小段
0044 十三添段十三添小段
0045 礁溪段
0046 公館後段公館後小段
0047 公館後段劉厝埔小段
0048 公館後段隆恩埔小段
0049 成福段成福小段
0050 成福段小暗坑小段
0051 麥子園段劉厝埔小段
0052 麥子園段麥子園小段
0053 山員潭子段
0054 大寮段
0055 三峽段三峽小段
0056 三峽段公館尾小段
0057 麻園段溪墘寮小段
0058 麻園段麻園小段
0059 大埔段大埔小段
0060 大埔段柑子樹腳小段
0061 大埔段圳子頭小段
0062 大埔段二鬮小段
0063 大埔段十八份小段
0064 大埔段五鬮小段
0065 鳶山段
0066 中埔段
0067 劉厝埔段
0068 隆恩埔段
0069 東眼段東麓小段
0070 東眼段金敏子小段
0071 茅埔段
0072 挖子段
0073 橫溪段溪南小段
0074 橫溪段溪北小段
0075 橫溪段坪林小段
0076 橫溪段頂寮小段
0077 福德坑段
0078 竹崙段竹坑小段
0079 竹崙段崙尾小段
0080 八張段八張小段
0081 八張段坡子墘小段
0082 五寮段五寮小段
0083 五寮段菜園地小段
0084 五寮段詩朗小段
0085 插角段熊空小段
0086 插角段有木小段
0087 插角段外插角小段
0088 插角段內插角小段
1500 三峽鎮
1909 介壽段
1910 東眼段東眼小段
1911 民權段
1912 民生段
1913 仁愛段
1914 和平段
1915 國光段
1916 文化段
1917 隆恩段
1918 大仁段
1932 大學段一小段
1934 民族段
1935 中園段
1943 湊合段
1965 佳興段
1966 長泰段
1967 安溪段
1968 永安段
1969 正義段
1970 龍福段
1983 溪北段
1984 溪東段
1985 溪南段
1986 麻園段
1987 大埔一段
1988 十三添一段
1992 成福一段
1996 成福二段
1999 紫微一段
2400 紫微二段
2401 建安段
2402 竹崙一段
2403 竹崙二段
2404 插角一段
2407 白雞一段
2408 白雞二段
2409 插角二段
2410 金敏段
2411 五寮一段
2412 東麓段
2413 有木一段

## 鶯歌區
0089 橋子頭段
0090 大湖段大湖小段
0091 大湖段崁腳小段
0092 大湖段大竹圍小段
0093 大湖段三界公坑小段
0094 大湖段樟普坑小段
0095 大湖段圳子頭坑小段
0096 鶯歌段牛灶坑小段
0097 大湖段中坑小段
0098 南靖厝段
0099 尖山段尖山埔小段
0100 尖山段尖山小段
0101 鶯歌段鶯歌小段
0102 二甲九段
0103 阿南坑段阿南坑小段
0104 阿南坑段茶山小段
0105 阿南坑段阿四坑小段
1600 鶯歌鎮
1905 中山段
1906 中正段
1907 建國段
1908 國慶段
1944 陶瓷段
1945 國姓段
1946 昌福段
1947 永昌段
1952 鳳鳴段
1955 德昌段
1956 永吉段
1957 鳳福段
1958 福德段
1959 鳳祥段
1960 工藝段
1961 尖山堆段
1962 尖山腳段
1963 二橋段
1971 三鶯段
1972 南靖段
1977 二甲段
1978 橋子頭一段
1979 橋子頭二段
1980 橋子頭三段
1981 國際段
1982 西湖段
1990 東湖段
1991 中湖段
2405 三湖段
2406 西鶯段
