# 字形容易混淆的字。**只用在路街名與地段名跟字典比對的時候**，
# 不會用在輸出的值上面 —— 輸出永遠是字典裡的那個名稱，而且一定會標記。
#
# 格式：一行一組，第一個字是代表字，後面接所有容易被讀成它的字，中間空一格。
# 比對時兩邊都先換成代表字，所以「風鳴路」跟字典裡的「鳳鳴路」就對得上了。
#
# 為什麼安全：這張表只影響「對到字典裡的哪一條路」，對不到還是回報讀不出來，
# 對到了輸出的也是字典裡的正式名稱。姓名、地段名的實際內容不受影響。
#
# 承辦人可以自己加。加之前請先確認：轄區內**沒有**兩條路分別用到這組裡的
# 兩個字（例如同時有「鳳鳴路」和「風鳴路」），否則它們會被混為一談。

# 承辦人實測最常讀錯的字。鶯歌區的鳳一路、鳳三路、鳳五路、鳳七路、
# 鳳吉一街、鳳福路、鳳鳴路都以它開頭，讀不出來就整條路名廢掉。
鳳 鳯凰風凤鴻鵬鶴鷗鳥

# 筆畫多、結構像的
鶯 莺鴬鸎鷰燕
鷺 鴦鶩
龍 龔襲寵瀧朧
歌 哥謌訶
華 準葦韋畢
興 與輿舉
德 徳惠悳
壽 燾儔
橋 僑轎喬
館 舘管
環 寰澴
藝 蓺薮
豐 豊酆
陽 楊揚暘
湖 潮糊蝴
義 羲議
禮 醴澧
賢 腎堅
