# 簡體轉繁體對照表。
#
# 辨識模型的字典同時收了簡繁兩種字形，所以偶爾會吐出簡體字 ——
# 實測最常見的是「樓」被讀成「楼」、「鄰」讀成「邻」。
# 輸出的資料要全部是繁體，所以在正規化的時候換掉。
#
# **只收「一對一、不會弄錯」的字。** 一個簡體字對到好幾個繁體字的
# （发→發/髮、干→乾/幹、后→後/后、里→里/裡、松→松/鬆、面→面/麵）
# 一律不收 —— 換錯字比不換更糟，而且從輸出表上看不出來。
#
# 格式：一行一組，簡體在前、繁體在後，中間一個空白。
# 「#」開頭是註解。發現漏的直接加一行就好，存檔即生效。

# 門牌與行政區的結構字（最常出問題的就這幾個）
楼 樓
邻 鄰
区 區
县 縣
号 號
镇 鎮
乡 鄉

# 台灣地名與路名常見字
东 東
兴 興
华 華
凤 鳳
龙 龍
丰 豐
万 萬
园 園
国 國
圆 圓
图 圖
团 團
场 場
学 學
宝 寶
岛 島
岭 嶺
广 廣
庙 廟
厂 廠
厅 廳
桥 橋
树 樹
机 機
极 極
标 標
业 業
产 產
动 動
医 醫
寿 壽
专 專
实 實
将 將
对 對
导 導
带 帶
从 從
应 應
怀 懷
战 戰
拥 擁
数 數
时 時
书 書
会 會
归 歸
气 氣
决 決
无 無
热 熱
尔 爾
独 獨
现 現
毕 畢
当 當
义 義
乐 樂
云 雲
亚 亞
仅 僅
仓 倉
优 優
传 傳
伟 偉
体 體
侨 僑
俭 儉
儿 兒
党 黨
兰 蘭
关 關
农 農
冈 岡
净 淨
凉 涼
划 劃
剧 劇
劝 勸
务 務
胜 勝
势 勢
勋 勳
协 協
单 單
卖 賣
卫 衛
厉 厲
压 壓
厦 廈
参 參
双 雙
变 變
门 門
问 問
间 間
闻 聞
阁 閣
队 隊
阶 階
际 際
陆 陸
陈 陳
险 險
难 難
雾 霧
静 靜
韩 韓
顺 順
须 須
顶 頂
项 項
领 領
头 頭
颜 顏
风 風
飞 飛
饭 飯
馆 館
马 馬
驿 驛
骑 騎
验 驗
鱼 魚
鸟 鳥
鸡 雞
鹤 鶴
黄 黃
齐 齊
龄 齡
车 車
长 長
开 開
阳 陽
阴 陰
亿 億
岁 歲
桦 樺
枫 楓
杨 楊
汉 漢
沟 溝
湾 灣
滨 濱
涧 澗
渔 漁
温 溫
汤 湯
潜 潛
灯 燈
炉 爐
点 點
爱 愛
狮 獅
猫 貓
玛 瑪
环 環
现 現
琼 瓊
础 礎
矿 礦
碍 礙
祯 禎
禄 祿
称 稱
积 積
稳 穩
穷 窮
签 簽
筹 籌
篮 籃
简 簡
纪 紀
纬 緯
练 練
组 組
细 細
经 經
统 統
绿 綠
维 維
综 綜
缆 纜
罗 羅
习 習
声 聲
职 職
肃 肅
胶 膠
腾 騰
舰 艦
艺 藝
苏 蘇
药 藥
莲 蓮
营 營
萧 蕭
蒋 蔣
虑 慮
虾 蝦
蚁 蟻
蜡 蠟
补 補
装 裝
见 見
观 觀
规 規
觉 覺
讯 訊
记 記
许 許
论 論
设 設
访 訪
证 證
评 評
识 識
诉 訴
诚 誠
话 話
详 詳
语 語
说 說
课 課
调 調
谈 談
谢 謝
谱 譜
贝 貝
财 財
责 責
败 敗
货 貨
质 質
购 購
贸 貿
资 資
赛 賽
赞 贊
赵 趙
车 車
轩 軒
转 轉
轮 輪
软 軟
辅 輔
辉 輝
输 輸
边 邊
达 達
迁 遷
运 運
远 遠
连 連
进 進
过 過
选 選
逊 遜
递 遞
适 適
逻 邏
邮 郵
郑 鄭
钟 鐘
钢 鋼
铁 鐵
银 銀
铜 銅
链 鏈
锦 錦
镇 鎮
锺 鍾
阵 陣
陇 隴
随 隨
隐 隱
双 雙
杂 雜
鸣 鳴
鹅 鵝
麦 麥
点 點
党 黨
税 稅

# 台灣地名補充
莺 鶯
峡 峽
岗 崗
坝 壩
庄 莊
蓝 藍
莱 萊
荣 榮
苍 蒼
丽 麗
龟 龜
鲁 魯
鲜 鮮
鸿 鴻
鹰 鷹
辽 遼
邹 鄒

# 常見姓氏
张 張
刘 劉
卢 盧
冯 馮
孙 孫
吴 吳
邓 鄧
叶 葉
严 嚴
顾 顧
龚 龔
钱 錢
赖 賴

# 其他常用字
齿 齒
韦 韋
页 頁
顿 頓
预 預
频 頻
题 題
饮 飲
饰 飾
针 針
铺 鋪
锁 鎖
闭 閉
联 聯
誉 譽
议 議
讲 講
贵 貴
贤 賢
贫 貧
赏 賞
赠 贈
载 載
迟 遲
释 釋
类 類
粮 糧
纯 純
纲 綱
纸 紙
绍 紹
缘 緣
网 網
脑 腦
虽 雖
监 監
盘 盤
笔 筆
筑 築
状 狀
献 獻
疗 療
备 備
惊 驚
亲 親

# 電腦產製表格上的常見字（實測稅務入口網列印件吐出的簡體）
别 別
编 編
额 額
权 權
属 屬
据 據
买 買
术 術
汇 匯
灭 滅
纤 纖
蚀 蝕
虏 虜
